file,treatment,signal_sum,cell_line
LS-1-16.7.24.czi - LS-1-16.7.24.czi #1-2.tif,LS,11835326054,NOMO-1
LS-2-16.7.2024.czi - LS-2-16.7.2024.czi #1-1.tif,LS,16616558857,NOMO-1
LS-3-16.7.24.czi - LS-3-16.7.24.czi #1-1.tif,LS,11540974640,NOMO-1
RU-1-16.7.2024.czi - RU-1-16.7.2024.czi #1-1.tif,RU,14574886433,NOMO-1
RU-2-16.7.24.czi - RU-2-16.7.24.czi #1-1.tif,RU,9581617928,NOMO-1
RU-3-16.7.2024.czi - RU-3-16.7.2024.czi #1-1.tif,RU,13396135910,NOMO-1
VA-1-2.7.2024.czi - VA-1-2.7.2024.czi #1-1.tif,VA,21425115195,NOMO-1
VA-2-2.7.2024.czi - VA-2-2.7.2024.czi #1-1.tif,VA,13385579602,NOMO-1
VA-3-2.7.2024.czi - VA-3-2.7.2024.czi #1-1.tif,VA,22478395504,NOMO-1
VC-1-2.7.2024.czi - VC-1-2.7.2024.czi #1-1.tif,VC,10057940403,NOMO-1
VC-2-2.7.2024.czi - VC-2-2.7.2024.czi #1-1.tif,VC,14580861327,NOMO-1
VC-3-2.7.2024.czi - VC-3-2.7.2024.czi #1-1.tif,VC,14504965542,NOMO-1
VR-1-2.7.2024.czi - VR-1-2.7.2024.czi #1-1.tif,VR,14121689552,NOMO-1
VR-2-2.7.2024.czi - VR-2-2.7.2024.czi #1-1.tif,VR,12895475817,NOMO-1
VR-3-2.7.2024.czi - VR-3-2.7.2024.czi #1-1.tif,VR,14958446896,NOMO-1
control-1-2.7.2024.czi - control-1-2.7.2024.czi #1-1.tif,control,16190413263,NOMO-1
control-2-2.7.2024.czi - control-2-2.7.2024.czi #1-1.tif,control,32923607126,NOMO-1
control-3-2.7.2024.czi - control-3-2.7.2024.czi #1-1.tif,control,20615582101,NOMO-1
control-4-2.7.2024.czi - control-4-2.7.2024.czi #1-1.tif,control,15482341819,NOMO-1
control-5-2.7.2024.czi - control-5-2.7.2024.czi #1-1.tif,control,27907882072,NOMO-1
control-6-2.7.2024.czi - control-6-2.7.2024.czi #1-1.tif,control,21962469877,NOMO-1
LS-1-molm-13.czi - LS-1-molm-13.czi #1-1.tif,LS,6175726414,MOLM-13
LS-2-molm-13.czi - LS-2-molm-13.czi #1-1.tif,LS,11784044619,MOLM-13
LS-3-16.7.24.czi - LS-3-16.7.24.czi #1-1.tif,LS,11540974640,MOLM-13
RU-1-molm-13.czi - RU-1-molm-13.czi #1-1.tif,RU,13171089092,MOLM-13
RU-2-molm-13.czi - RU-2-molm-13.czi #1-1.tif,RU,11821921550,MOLM-13
RU-3-molm-13.czi - RU-3-molm-13.czi #1-1.tif,RU,10669379243,MOLM-13
RU-4-molm-13.czi - RU-4-molm-13.czi #1-1.tif,RU,7727227607,MOLM-13
VA-1-molm-13.czi - VA-1-molm-13.czi #1-1.tif,VA,11967579975,MOLM-13
VA-2-molm-13.czi - VA-2-molm-13.czi #1-1.tif,VA,11029616678,MOLM-13
VA-3-molm-16.czi - VA-3-molm-16.czi #1-1.tif,VA,15306980298,MOLM-13
VA-4-molm-13.czi - VA-4-molm-13.czi #1-1.tif,VA,15014283605,MOLM-13
VC-1-molm-13.czi - VC-1-molm-13.czi #1-1.tif,VC,15668296153,MOLM-13
VC-2-molm-13.czi - VC-2-molm-13.czi #1-1.tif,VC,13023159874,MOLM-13
VC-3-molm-13.czi - VC-3-molm-13.czi #1-1.tif,VC,16374463719,MOLM-13
VC-4-molm-13.czi - VC-4-molm-13.czi #1-1.tif,VC,16066002032,MOLM-13
VR-1-molm-13.czi - VR-1-molm-13.czi #1-1.tif,VR,12400051343,MOLM-13
VR-2-molm-13.czi - VR-2-molm-13.czi #1-1.tif,VR,18659439952,MOLM-13
VR-3-molm-13.czi - VR-3-molm-13.czi #1-1.tif,VR,11403608733,MOLM-13
control-1-molm-13.czi - control-1-molm-13.czi #1-1.tif,control,13342851696,MOLM-13
control-2-molm-13.czi - control-2-molm-13.czi #1-1.tif,control,17370207027,MOLM-13
control-3-molm-13.czi - control-3-molm-13.czi #1-1 .tif,control,19077725748,MOLM-13
control-4-molm-13.czi - control-4-molm-13.czi #1-2.tif,control,14195116586,MOLM-13
